n,time
572,0.000536
573,0.000511
574,0.000543
575,0.000537
576,0.000543
577,0.00053
578,0.000534
579,0.000534
580,0.000544
581,0.000547
582,0.000575
583,0.000559
584,0.000562
585,0.00053
586,0.000559
587,0.000541
588,0.000563
589,0.000656
590,0.000663
591,0.000542
592,0.000564
593,0.000647
594,0.000678
595,0.000845
596,0.000579
597,0.00057
598,0.000558
599,0.000576
600,0.000571
601,0.000595
602,0.000585
603,0.000555
604,0.000591
605,0.000596
606,0.000569
607,0.00059
608,0.00057
609,0.000645
610,0.000564
611,0.000618
612,0.000605
613,0.000585
614,0.000596
615,0.000661
616,0.000758
617,0.000829
618,0.001252
619,0.001244
620,0.000609
621,0.000609
622,0.000608
623,0.000619
624,0.000626
625,0.000621
626,0.000594
627,0.000645
628,0.000609
629,0.000626
630,0.000674
631,0.000854
632,0.000969
633,0.000624
634,0.000739
635,0.00066
636,0.000786
637,0.000716
638,0.00068
639,0.000658
640,0.000639
641,0.000666
642,0.000663
643,0.000917
644,0.00068
645,0.000635
646,0.000681
647,0.000693
648,0.000661
649,0.000684
650,0.000649
651,0.000867
652,0.000673
653,0.000669
654,0.000796
655,0.000822
656,0.001422
657,0.001461
658,0.00147
659,0.001042
660,0.00066
661,0.000689
662,0.00069
663,0.000722
664,0.000704
665,0.000681
666,0.000782
667,0.000931
668,0.000708
669,0.000718
670,0.000831
671,0.000751
672,0.000941
673,0.00072
674,0.000715
675,0.000718
676,0.000715
677,0.000741
678,0.000727
679,0.000739
680,0.000724
681,0.000755
682,0.00074
683,0.000753
684,0.000735
685,0.000795
686,0.001005
687,0.000748
688,0.00075
689,0.000931
690,0.000785
691,0.000794
692,0.000763
693,0.000754
694,0.000711
695,0.000781
696,0.000762
697,0.000754
698,0.000758
699,0.000782
700,0.000765
701,0.000785
702,0.000822
703,0.000859
704,0.000818
705,0.000822
706,0.000806
707,0.000804
708,0.000904
709,0.000781
710,0.000773
711,0.000747
712,0.000807
713,0.000815
714,0.000811
715,0.000827
716,0.000762
717,0.00081
718,0.000812
719,0.000803
720,0.000862
721,0.00101
722,0.000823
723,0.000863
724,0.001241
725,0.000859
726,0.00115
727,0.001844
728,0.000964
729,0.000816
730,0.000845
731,0.000859
732,0.00087
733,0.000859
734,0.000905
735,0.001081
736,0.000862
737,0.001087
738,0.001176
739,0.000908
740,0.000882
741,0.000944
742,0.000903
743,0.000892
744,0.001045
745,0.000859
746,0.000889
747,0.00088
748,0.000896
749,0.001155
750,0.000897
751,0.000891
752,0.000902
753,0.001042
754,0.000912
755,0.000946
756,0.000898
757,0.00094
758,0.00104
759,0.000901
760,0.000931
761,0.000958
762,0.000909
763,0.000887
764,0.001122
765,0.000925
766,0.00098
767,0.001028
768,0.001047
769,0.000972
770,0.00096
771,0.000937
772,0.000919
773,0.000926
774,0.000941
775,0.00092
776,0.000983
777,0.000995
778,0.000947
779,0.001266
780,0.000965
781,0.000982
782,0.001161
783,0.000977
784,0.000978
785,0.000965
786,0.001012
787,0.001025
788,0.000955
789,0.000968
790,0.001004
791,0.000958
792,0.001067
793,0.001284
794,0.001005
795,0.001272
796,0.001104
797,0.001048
798,0.000985
799,0.000993
800,0.001082
801,0.000996
802,0.001023
803,0.001022
804,0.001009
805,0.001055
806,0.00137
807,0.001098
808,0.001084
809,0.001151
810,0.00109
811,0.00102
812,0.001038
813,0.001037
814,0.001088
815,0.001065
816,0.00106
817,0.001045
818,0.001052
819,0.001443
820,0.001166
821,0.001308
822,0.001419
823,0.001102
824,0.001079
825,0.001052
826,0.001084
827,0.001018
828,0.001073
829,0.001094
830,0.001125
831,0.001137
832,0.001317
833,0.001103
834,0.001129
835,0.001171
836,0.001108
837,0.001098
838,0.001062
839,0.001113
840,0.001128
841,0.001136
842,0.001137
843,0.001133
844,0.001425
845,0.00114
846,0.001162
847,0.001328
848,0.001122
849,0.001153
850,0.00118
851,0.001113
852,0.001198
853,0.00116
854,0.001129
855,0.001109
856,0.001477
857,0.001151
858,0.001173
859,0.001291
860,0.001184
861,0.001178
862,0.001139
863,0.001151
864,0.001169
865,0.001168
866,0.00133
867,0.001266
868,0.0015
869,0.001177
870,0.001354
871,0.00139
872,0.001258
873,0.001135
874,0.001164
875,0.001147
876,0.001192
877,0.00122
878,0.001242
879,0.001731
880,0.001225
881,0.001287
882,0.001373
883,0.001231
884,0.001292
885,0.00127
886,0.001244
887,0.001247
888,0.001242
889,0.001194
890,0.001281
891,0.001487
892,0.001313
893,0.001334
894,0.001349
895,0.001266
896,0.001263
897,0.001298
898,0.001247
899,0.001291
900,0.001275
901,0.001477
902,0.001376
903,0.001295
904,0.001536
905,0.001376
906,0.001315
907,0.001261
908,0.001317
909,0.001295
