n,time
1089,0.000151
1090,0.000164
1091,0.000167
1092,0.000163
1093,0.000162
1094,0.000161
1095,0.000169
1096,0.000151
1097,0.000163
1098,0.000158
1099,0.000151
1100,0.000156
1101,0.000176
1102,0.000158
1103,0.000162
1104,0.000165
1105,0.00017
1106,0.00017
1107,0.000158
1108,0.000152
1109,0.000158
1110,0.000161
1111,0.000151
1112,0.000162
1113,0.000153
1114,0.000149
1115,0.000167
1116,0.000174
1117,0.000188
1118,0.000198
1119,0.000206
1120,0.000172
1121,0.000163
1122,0.000163
1123,0.000156
1124,0.000157
1125,0.000164
1126,0.000175
1127,0.000175
1128,0.000162
1129,0.000167
1130,0.000203
1131,0.000195
1132,0.000157
1133,0.000155
1134,0.000167
1135,0.000164
1136,0.000158
1137,0.000154
1138,0.000188
1139,0.000271
1140,0.000161
1141,0.00016
1142,0.000161
1143,0.00016
1144,0.000193
1145,0.000182
1146,0.000162
1147,0.000165
1148,0.000165
1149,0.000162
1150,0.00017
1151,0.000165
1152,0.000167
1153,0.000159
1154,0.000171
1155,0.000171
1156,0.000167
1157,0.000224
1158,0.000176
1159,0.000197
1160,0.000156
1161,0.000165
1162,0.000171
1163,0.000162
1164,0.000156
1165,0.000289
1166,0.000167
1167,0.000159
1168,0.000175
1169,0.000175
1170,0.000275
1171,0.000267
1172,0.000178
1173,0.000165
1174,0.000164
1175,0.000177
1176,0.000258
1177,0.000265
1178,0.000202
1179,0.000183
1180,0.000292
1181,0.00027
1182,0.000171
1183,0.000177
1184,0.000305
1185,0.000275
1186,0.000216
1187,0.000177
1188,0.00028
1189,0.000315
1190,0.000177
1191,0.000177
1192,0.000277
1193,0.00028
1194,0.00017
1195,0.000163
1196,0.000313
1197,0.000285
1198,0.000186
1199,0.000176
1200,0.000273
1201,0.000234
1202,0.000174
1203,0.000178
1204,0.000286
1205,0.000313
1206,0.000178
1207,0.000184
1208,0.000178
1209,0.000292
1210,0.000186
1211,0.000178
1212,0.000172
1213,0.000173
1214,0.000315
1215,0.000284
1216,0.000185
1217,0.000182
1218,0.000277
1219,0.000323
1220,0.000187
1221,0.000176
1222,0.000295
1223,0.000181
1224,0.000189
1225,0.000183
1226,0.000264
1227,0.000296
1228,0.000179
1229,0.000182
1230,0.000177
1231,0.000234
1232,0.0003
1233,0.000176
1234,0.000179
1235,0.000184
1236,0.000316
1237,0.000176
1238,0.000175
1239,0.000182
1240,0.000175
1241,0.000175
1242,0.000173
1243,0.000188
1244,0.000183
1245,0.000233
1246,0.000186
1247,0.000187
1248,0.000198
1249,0.000194
1250,0.000182
1251,0.000172
1252,0.000294
1253,0.000217
1254,0.000296
1255,0.000202
1256,0.000226
1257,0.000187
1258,0.00018
1259,0.000178
1260,0.00021
1261,0.000184
1262,0.000189
1263,0.000223
1264,0.000186
1265,0.000199
1266,0.000189
1267,0.000306
1268,0.000215
1269,0.000203
1270,0.000182
1271,0.00019
1272,0.000192
1273,0.000188
1274,0.000199
1275,0.000193
1276,0.000176
1277,0.000185
1278,0.000202
1279,0.00019
1280,0.00018
1281,0.000186
1282,0.000179
1283,0.000188
1284,0.0003
1285,0.000202
1286,0.000203
1287,0.000188
1288,0.000191
1289,0.000203
1290,0.00031
1291,0.000191
1292,0.000205
1293,0.000188
1294,0.000177
1295,0.000184
1296,0.000193
1297,0.000194
1298,0.000194
1299,0.000199
1300,0.000331
1301,0.000199
1302,0.000194
1303,0.000194
1304,0.000186
1305,0.000197
1306,0.000189
1307,0.000191
1308,0.000201
1309,0.000184
1310,0.000201
1311,0.000206
1312,0.000201
1313,0.000191
1314,0.000194
1315,0.000188
1316,0.000198
1317,0.000225
1318,0.000206
1319,0.000186
1320,0.00019
1321,0.000203
1322,0.000202
1323,0.000186
1324,0.000193
1325,0.000199
1326,0.000201
1327,0.00019
1328,0.000197
1329,0.000208
1330,0.000211
1331,0.000208
1332,0.000254
1333,0.000202
1334,0.000196
1335,0.000194
1336,0.000226
1337,0.000258
1338,0.000195
1339,0.000203
1340,0.000199
1341,0.000227
1342,0.00019
1343,0.000193
1344,0.000196
1345,0.000216
1346,0.000241
1347,0.000217
1348,0.00021
1349,0.000192
1350,0.000184
1351,0.000199
1352,0.000205
1353,0.00019
1354,0.000199
1355,0.000212
1356,0.000201
1357,0.000192
1358,0.000201
1359,0.000215
1360,0.00035
1361,0.0002
1362,0.000208
1363,0.000303
1364,0.000193
1365,0.000206
1366,0.000197
1367,0.000218
1368,0.000224
1369,0.000225
1370,0.000247
1371,0.00021
1372,0.000193
1373,0.000201
1374,0.000202
1375,0.000212
1376,0.0002
1377,0.000361
1378,0.000206
1379,0.00021
1380,0.000206
1381,0.000208
1382,0.000234
1383,0.00022
1384,0.000194
1385,0.000219
1386,0.000218
1387,0.000206
1388,0.000212
1389,0.000205
1390,0.000195
1391,0.000207
1392,0.000206
1393,0.00021
1394,0.000219
1395,0.000198
1396,0.000217
1397,0.00022
1398,0.000217
1399,0.000197
1400,0.000208
1401,0.000207
1402,0.000215
1403,0.000209
1404,0.000198
1405,0.000204
1406,0.000236
1407,0.0002
1408,0.000221
1409,0.000212
1410,0.00021
1411,0.00022
1412,0.000211
1413,0.0002
1414,0.00021
1415,0.000217
1416,0.00022
1417,0.000224
1418,0.000244
1419,0.000225
1420,0.000213
1421,0.000204
1422,0.000208
1423,0.000207
1424,0.000224
1425,0.000311
1426,0.000212
1427,0.000211
1428,0.000204
1429,0.000203
1430,0.000224
1431,0.000209
1432,0.000211
1433,0.000233
1434,0.000213
1435,0.000217
1436,0.000213
1437,0.000218
1438,0.000221
1439,0.000254
1440,0.000231
1441,0.000233
1442,0.000206
1443,0.000209
1444,0.000228
1445,0.00022
1446,0.000199
1447,0.000217
1448,0.000263
1449,0.000218
1450,0.000242
1451,0.000232
1452,0.00021
1453,0.000212
1454,0.000221
1455,0.000214
1456,0.000208
1457,0.000272
1458,0.000234
1459,0.000222
1460,0.000208
1461,0.000229
1462,0.000217
1463,0.00024
1464,0.000217
1465,0.000212
1466,0.000221
1467,0.000248
1468,0.000234
1469,0.000217
1470,0.000225
1471,0.000286
1472,0.000215
1473,0.000221
1474,0.000226
1475,0.000221
1476,0.000224
1477,0.000217
1478,0.000213
1479,0.000208
1480,0.000237
1481,0.000215
1482,0.000241
1483,0.000272
1484,0.000212
1485,0.000232
1486,0.000212
1487,0.000231
1488,0.000244
1489,0.000227
1490,0.000224
1491,0.000222
1492,0.000221
1493,0.000222
1494,0.000231
1495,0.00021
1496,0.000214
1497,0.000243
1498,0.000223
1499,0.000233
1500,0.000229
1501,0.000228
1502,0.000213
1503,0.000221
1504,0.000215
1505,0.000229
1506,0.000229
1507,0.00024
1508,0.000226
1509,0.000216
1510,0.000246
1511,0.000236
1512,0.000223
1513,0.000269
1514,0.000233
1515,0.000242
1516,0.000232
1517,0.000242
1518,0.000215
1519,0.000229
1520,0.000239
1521,0.000231
1522,0.000233
1523,0.000248
1524,0.000231
1525,0.000239
1526,0.000232
1527,0.000222
1528,0.000239
1529,0.000251
1530,0.000242
1531,0.000225
1532,0.00023
1533,0.000216
1534,0.000233
1535,0.000264
1536,0.000233
1537,0.000237
1538,0.000227
1539,0.000231
1540,0.000244
1541,0.000227
1542,0.000236
1543,0.000238
1544,0.00023
1545,0.000252
1546,0.000236
1547,0.000232
1548,0.000224
1549,0.000227
1550,0.000238
1551,0.000246
1552,0.000227
1553,0.00023
1554,0.000249
1555,0.000254
1556,0.000235
1557,0.000231
1558,0.000232
1559,0.000236
1560,0.000231
1561,0.000234
1562,0.000236
1563,0.000219
1564,0.00024
1565,0.000242
1566,0.000244
1567,0.000234
1568,0.000272
1569,0.000253
1570,0.000237
1571,0.000255
1572,0.000237
1573,0.000246
1574,0.000236
1575,0.000228
1576,0.000259
1577,0.00024
1578,0.00023
1579,0.00027
1580,0.000252
1581,0.000225
1582,0.000259
1583,0.000241
1584,0.000231
1585,0.000263
1586,0.000249
1587,0.000366
1588,0.000245
1589,0.000236
1590,0.000247
1591,0.000427
1592,0.000245
1593,0.000253
1594,0.000375
1595,0.000226
1596,0.000399
1597,0.000399
1598,0.000243
1599,0.000449
1600,0.000261
1601,0.000426
1602,0.000251
1603,0.000351
1604,0.000246
1605,0.000243
1606,0.000392
1607,0.000259
1608,0.000254
1609,0.000264
1610,0.000385
1611,0.000237
1612,0.000404
1613,0.000305
1614,0.000285
1615,0.000389
1616,0.000245
1617,0.000443
1618,0.000241
1619,0.000434
1620,0.000259
1621,0.000413
1622,0.000252
1623,0.000257
1624,0.00038
1625,0.000398
1626,0.00041
1627,0.000264
1628,0.000286
1629,0.000383
1630,0.000239
1631,0.000387
1632,0.000386
1633,0.00047
1634,0.000392
1635,0.000436
1636,0.00025
1637,0.000253
1638,0.000459
1639,0.000367
1640,0.000409
1641,0.000258
1642,0.000415
1643,0.000267
1644,0.000249
1645,0.00025
1646,0.000265
1647,0.000349
1648,0.000261
1649,0.000257
1650,0.000267
1651,0.000382
1652,0.000421
1653,0.000415
1654,0.000405
1655,0.000469
1656,0.000464
1657,0.000241
1658,0.000506
1659,0.000421
1660,0.000424
1661,0.000465
1662,0.000248
1663,0.00025
1664,0.000289
1665,0.00025
1666,0.000255
1667,0.000247
1668,0.000409
1669,0.000252
1670,0.000248
1671,0.000329
1672,0.000434
1673,0.000433
1674,0.000453
1675,0.000425
1676,0.000313
1677,0.000427
1678,0.00041
1679,0.000282
1680,0.000253
1681,0.000244
1682,0.000262
1683,0.00027
1684,0.00042
1685,0.000267
1686,0.00043
1687,0.000266
1688,0.000257
1689,0.000475
1690,0.00027
1691,0.000251
1692,0.000438
1693,0.00041
1694,0.000343
1695,0.000262
1696,0.000261
1697,0.000368
1698,0.000455
1699,0.000288
1700,0.000267
1701,0.000269
1702,0.000301
1703,0.000266
1704,0.000273
1705,0.000267
1706,0.000426
1707,0.00026
1708,0.000272
1709,0.00046
1710,0.000336
1711,0.000256
1712,0.000266
1713,0.000265
1714,0.000254
1715,0.000275
1716,0.000379
1717,0.000252
1718,0.000252
1719,0.00027
1720,0.000257
1721,0.000294
1722,0.000309
1723,0.000445
1724,0.000347
1725,0.000437
1726,0.000283
1727,0.000263
1728,0.000365
1729,0.000441
1730,0.000278
1731,0.000286
